"id","han_ji","chu_im","freq","siann","un","tiau","old_chu_im","sni_siann","sni_un"
248,"䔚","tun3",,"t","un",3,"tun3","地","君"
249,"吩","phun3",,"ph","un",3,"phun3","頗","君"
250,"𠴮","phun3",,"ph","un",3,"phun3","頗","君"
251,"喯","phun3",,"ph","un",3,"phun3","頗","君"
252,"逩","phun3",,"ph","un",3,"phun3","頗","君"
253,"泍","phun3",,"ph","un",3,"phun3","頗","君"
254,"噴","phun3",,"ph","un",3,"phun3","頗","君"
255,"𤶕","thun3",,"th","un",3,"thun3","他","君"
256,"褪","thun3",,"th","un",3,"thun3","他","君"
257,"飩","thun3",,"th","un",3,"thun3","他","君"
258,"𪑒","thun3",,"th","un",3,"thun3","他","君"
259,"俊","chun3",,"ch","un",3,"tsun3","曾","君"
260,"儁","chun3",,"ch","un",3,"tsun3","曾","君"
261,"雋","chun3",,"ch","un",3,"tsun3","曾","君"
262,"峻","chun3",,"ch","un",3,"tsun3","曾","君"
263,"𡼕","chun3",,"ch","un",3,"tsun3","曾","君"
264,"懏","chun3",,"ch","un",3,"tsun3","曾","君"
265,"狻","chun3",,"ch","un",3,"tsun3","曾","君"
266,"竣","chun3",,"ch","un",3,"tsun3","曾","君"
267,"浚","chun3",,"ch","un",3,"tsun3","曾","君"
268,"逡","chun3",,"ch","un",3,"tsun3","曾","君"
269,"濬","chun3",,"ch","un",3,"tsun3","曾","君"
270,"畯","chun3",,"ch","un",3,"tsun3","曾","君"
271,"餕","chun3",,"ch","un",3,"tsun3","曾","君"
272,"駿","chun3",,"ch","un",3,"tsun3","曾","君"
273,"鱒","chun3",,"ch","un",3,"tsun3","曾","君"
274,"睃","chun3",,"ch","un",3,"tsun3","曾","君"
275,"圳","chun3",,"ch","un",3,"tsun3","曾","君"
276,"鋑","chun3",,"ch","un",3,"tsun3","曾","君"
277,"舜","sun3",,"s","un",3,"sun3","時","君"
278,"𠊫","sun3",,"s","un",3,"sun3","時","君"
279,"蕣","sun3",,"s","un",3,"sun3","時","君"
280,"巽","sun3",,"s","un",3,"sun3","時","君"
281,"遜","sun3",,"s","un",3,"sun3","時","君"
282,"孫","sun3",,"s","un",3,"sun3","時","君"
283,"瞚","sun3",,"s","un",3,"sun3","時","君"
284,"橓","sun3",,"s","un",3,"sun3","時","君"
285,"瞬","sun3",,"s","un",3,"sun3","時","君"
286,"𢁅","sun3",,"s","un",3,"sun3","時","君"
287,"潠","sun3",,"s","un",3,"sun3","時","君"
288,"噀","sun3",,"s","un",3,"sun3","時","君"
289,"慍","qun3",,"q","un",3,"un3","英","君"
290,"蘊","qun3",,"q","un",3,"un3","英","君"
291,"搵","qun3",,"q","un",3,"un3","英","君"
292,"縕","qun3",,"q","un",3,"un3","英","君"
293,"醞","qun3",,"q","un",3,"un3","英","君"
294,"韞","qun3",,"q","un",3,"un3","英","君"
295,"溫","qun3",,"q","un",3,"un3","英","君"
296,"寸","chhun3",,"chh","un",3,"tshun3","出","君"
297,"訓","hun3",,"h","un",3,"hun3","喜","君"
298,"僨","hun3",,"h","un",3,"hun3","喜","君"
299,"𦘶","hun3",,"h","un",3,"hun3","喜","君"
300,"馴","hun3",,"h","un",3,"hun3","喜","君"
301,"𥂙","hun3",,"h","un",3,"hun3","喜","君"
302,"奮","hun3",,"h","un",3,"hun3","喜","君"
303,"糞","hun3",,"h","un",3,"hun3","喜","君"
304,"爋","hun3",,"h","un",3,"hun3","喜","君"
305,"不","put4",,"p","ut",4,"put4","邊","君"
306,"扒","put4",,"p","ut",4,"put4","邊","君"
307,"朳","put4",,"p","ut",4,"put4","邊","君"
308,"骨","kut4",,"k","ut",4,"kut4","求","君"
309,"榾","kut4",,"k","ut",4,"kut4","求","君"
310,"𥠳","kut4",,"k","ut",4,"kut4","求","君"
311,"窟","khut4",,"kh","ut",4,"khut4","去","君"
312,"㵠","khut4",,"kh","ut",4,"khut4","去","君"
313,"堀","khut4",,"kh","ut",4,"khut4","去","君"
314,"詘","khut4",,"kh","ut",4,"khut4","去","君"
315,"𡼿","khut4",,"kh","ut",4,"khut4","去","君"
316,"屈","khut4",,"kh","ut",4,"khut4","去","君"
317,"𦁐","khut4",,"kh","ut",4,"khut4","去","君"
318,"𦜇","khut4",,"kh","ut",4,"khut4","去","君"
319,"㑁","tut4",,"t","ut",4,"tut4","地","君"
320,"咄","tut4",,"t","ut",4,"tut4","地","君"
321,"㤕","tut4",,"t","ut",4,"tut4","地","君"
322,"飿","tut4",,"t","ut",4,"tut4","地","君"
323,"昢","phut4",,"ph","ut",4,"phut4","頗","君"
324,"朏","phut4",,"ph","ut",4,"phut4","頗","君"
325,"𥩾","phut4",,"ph","ut",4,"phut4","頗","君"
326,"䭯","phut4",,"ph","ut",4,"phut4","頗","君"
327,"㛘","phut4",,"ph","ut",4,"phut4","頗","君"
328,"怵","thut4",,"th","ut",4,"thut4","他","君"
329,"𢬳","thut4",,"th","ut",4,"thut4","他","君"
330,"禿","thut4",,"th","ut",4,"thut4","他","君"
331,"頹","thut4",,"th","ut",4,"thut4","他","君"
332,"䠈","thut4",,"th","ut",4,"thut4","他","君"
333,"黜","thut4",,"th","ut",4,"thut4","他","君"
334,"痜","thut4",,"th","ut",4,"thut4","他","君"
335,"卒","chut4",,"ch","ut",4,"tsut4","曾","君"
336,"倅","chut4",,"ch","ut",4,"tsut4","曾","君"
337,"卆","chut4",,"ch","ut",4,"tsut4","曾","君"
338,"䘚","chut4",,"ch","ut",4,"tsut4","曾","君"
339,"捽","chut4",,"ch","ut",4,"tsut4","曾","君"
340,"窋","chut4",,"ch","ut",4,"tsut4","曾","君"
341,"率","sut4",,"s","ut",4,"sut4","時","君"
342,"恤","sut4",,"s","ut",4,"sut4","時","君"
343,"𠌭","sut4",,"s","ut",4,"sut4","時","君"
344,"䢦","sut4",,"s","ut",4,"sut4","時","君"
345,"戌","sut4",,"s","ut",4,"sut4","時","君"
346,"㖅","sut4",,"s","ut",4,"sut4","時","君"
347,"窣","sut4",,"s","ut",4,"sut4","時","君"
348,"卹","sut4",,"s","ut",4,"sut4","時","君"
349,"賉","sut4",,"s","ut",4,"sut4","時","君"
350,"帥","sut4",,"s","ut",4,"sut4","時","君"
351,"蟀","sut4",,"s","ut",4,"sut4","時","君"
352,"𩘱","sut4",,"s","ut",4,"sut4","時","君"
353,"𠞩","sut4",,"s","ut",4,"sut4","時","君"
354,"熨","qut4",,"q","ut",4,"ut4","英","君"
355,"菀","qut4",,"q","ut",4,"ut4","英","君"
356,"鬱","qut4",,"q","ut",4,"ut4","英","君"
357,"欝","qut4",,"q","ut",4,"ut4","英","君"
358,"叞","qut4",,"q","ut",4,"ut4","英","君"
359,"殟","qut4",,"q","ut",4,"ut4","英","君"
360,"𩑦","qut4",,"q","ut",4,"ut4","英","君"
361,"𢺴","qut4",,"q","ut",4,"ut4","英","君"
362,"𡨿","qut4",,"q","ut",4,"ut4","英","君"
363,"𩰪","qut4",,"q","ut",4,"ut4","英","君"
364,"𠝑","qut4",,"q","ut",4,"ut4","英","君"
365,"爩","qut4",,"q","ut",4,"ut4","英","君"
366,"魩","but4",,"b","ut",4,"but4","門","君"
367,"𡼘","gut4",,"g","ut",4,"gut4","語","君"
368,"矻","gut4",,"g","ut",4,"gut4","語","君"
369,"𤟎","gut4",,"g","ut",4,"gut4","語","君"
370,"出","chhut4",,"chh","ut",4,"tshut4","出","君"
371,"齣","chhut4",,"chh","ut",4,"tshut4","出","君"
372,"乀","hut4",,"h","ut",4,"hut4","喜","君"
373,"弗","hut4",,"h","ut",4,"hut4","喜","君"
374,"彿","hut4",,"h","ut",4,"hut4","喜","君"
375,"佛","hut4",,"h","ut",4,"hut4","喜","君"
376,"拂","hut4",,"h","ut",4,"hut4","喜","君"
377,"𢂀","hut4",,"h","ut",4,"hut4","喜","君"
378,"怫","hut4",,"h","ut",4,"hut4","喜","君"
379,"咈","hut4",,"h","ut",4,"hut4","喜","君"
380,"唿","hut4",,"h","ut",4,"hut4","喜","君"
381,"綍","hut4",,"h","ut",4,"hut4","喜","君"
382,"紼","hut4",,"h","ut",4,"hut4","喜","君"
383,"紱","hut4",,"h","ut",4,"hut4","喜","君"
384,"袚","hut4",,"h","ut",4,"hut4","喜","君"
