han_ji,chu_im,freq,siann,un, tiau ,old_chu_im,sni_siann,sni_un
叞,qut4,0.01,q,ut,4,ut4,英,君
殟,qut4,,q,ut,4,ut4,英,君
𩑦,qut4,,q,ut,4,ut4,英,君
𢺴,qut4,,q,ut,4,ut4,英,君
𡨿,qut4,,q,ut,4,ut4,英,君
𩰪,qut4,,q,ut,4,ut4,英,君
𠝑,qut4,,q,ut,4,ut4,英,君
爩,qut4,,q,ut,4,ut4,英,君
魩,but4,,b,ut,4,but4,門,君
𡼘,gut4,,g,ut,4,gut4,語,君
矻,gut4,,g,ut,4,gut4,語,君
𤟎,gut4,,g,ut,4,gut4,語,君
出,tshut4,,tsh,ut,4,tshut4,出,君
齣,tshut4,,tsh,ut,4,tshut4,出,君
乀,hut4,,h,ut,4,hut4,喜,君
弗,hut4,,h,ut,4,hut4,喜,君
彿,hut4,,h,ut,4,hut4,喜,君
佛,hut4,,h,ut,4,hut4,喜,君
拂,hut4,,h,ut,4,hut4,喜,君
𢂀,hut4,,h,ut,4,hut4,喜,君
怫,hut4,,h,ut,4,hut4,喜,君
咈,hut4,,h,ut,4,hut4,喜,君
唿,hut4,,h,ut,4,hut4,喜,君
綍,hut4,,h,ut,4,hut4,喜,君
紼,hut4,,h,ut,4,hut4,喜,君
紱,hut4,,h,ut,4,hut4,喜,君
袚,hut4,,h,ut,4,hut4,喜,君
韍,hut4,0.01,h,ut,4,hut4,喜,君
黻,hut4,,h,ut,4,hut4,喜,君
祓,hut4,,h,ut,4,hut4,喜,君
髴,hut4,,h,ut,4,hut4,喜,君
惚,hut4,,h,ut,4,hut4,喜,君
忽,hut4,,h,ut,4,hut4,喜,君
囫,hut4,,h,ut,4,hut4,喜,君
笏,hut4,,h,ut,4,hut4,喜,君
甶,hut4,,h,ut,4,hut4,喜,君
𡱽,hut4,,h,ut,4,hut4,喜,君
𢝻,hut4,,h,ut,4,hut4,喜,君
曶,hut4,,h,ut,4,hut4,喜,君
䝆,hut4,,h,ut,4,hut4,喜,君
